source,target
10.215.173.2:853,YouTube
YouTube,142.250.192.10:443
YouTube,142.250.183.54:443
YouTube,142.250.199.129:443
YouTube,142.250.192.110:443
YouTube,142.250.192.67:443
YouTube,142.250.192.14:443
YouTube,142.251.42.78:443
YouTube,180.149.59.14:443
YouTube,180.149.59.13:443
YouTube,180.149.59.41:443
YouTube,180.149.59.40:443
YouTube,142.251.42.68:443
YouTube,74.125.24.102:443
YouTube,142.250.66.3:443
YouTube,142.251.42.38:443
YouTube,180.149.59.12:443
YouTube,172.217.174.65:443
YouTube,142.250.183.33:443
YouTube,172.217.174.66:443
YouTube,142.250.183.173:443
YouTube,142.250.192.106:443
YouTube,142.250.183.131:443
YouTube,142.250.192.46:443
YouTube,142.250.192.78:443
YouTube,142.250.66.14:443
YouTube,172.217.166.68:443
YouTube,142.250.183.111:443
YouTube,142.250.193.202:443
YouTube,142.250.183.46:443
YouTube,142.250.199.174:443
YouTube,142.251.12.138:443
YouTube,142.250.183.65:443
YouTube,142.251.42.77:443
YouTube,142.250.183.170:443
YouTube,142.250.77.33:443
YouTube,142.250.67.162:443
YouTube,142.250.67.138:443
YouTube,142.250.66.1:443
YouTube,172.217.166.46:443
YouTube,142.250.77.86:443
YouTube,142.250.199.170:443
YouTube,142.250.67.174:443
YouTube,142.250.192.35:443
YouTube,172.217.166.161:443
YouTube,216.58.203.36:443
YouTube,142.251.12.139:443
YouTube,142.250.183.195:443
YouTube,142.251.42.33:443
YouTube,142.250.66.2:443
YouTube,142.250.67.134:443
YouTube,142.250.192.66:443
YouTube,142.251.42.42:443
YouTube,142.251.42.65:443
YouTube,142.250.183.142:443
YouTube,216.58.196.86:443
YouTube,142.251.42.46:443
YouTube,142.250.183.130:443
YouTube,142.250.192.98:443
YouTube,142.250.67.234:443
YouTube,142.250.183.138:443
YouTube,142.251.42.86:443
YouTube,74.125.24.101:443
YouTube,172.217.27.196:443
YouTube,142.251.42.2:443
YouTube,142.250.67.193:443
YouTube,142.250.199.162:443
YouTube,216.58.203.38:443
YouTube,172.217.160.202:443
YouTube,172.217.166.78:443
YouTube,172.217.167.170:443
YouTube,142.250.67.226:443
YouTube,142.250.192.142:443
YouTube,142.250.192.118:443
YouTube,172.217.174.228:443
YouTube,142.250.182.227:443
YouTube,142.250.66.10:443
YouTube,172.217.166.74:443
YouTube,172.217.27.206:443
YouTube,142.250.199.150:443
YouTube,172.217.167.162:443
YouTube,142.250.67.194:443
YouTube,142.251.42.6:443
YouTube,142.250.183.34:443
YouTube,142.250.199.142:443
